pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-10-01	Tri-Objective Co-Optimization of Waste-Cooking-Oil Biodiesel Using ML, NSGA-II & LCA	Energy Reports	... 	" Istiyak, A. S., Siow, C. L., Lee, I. E., et al. (2025). Tri-Objective Co-optimization of Waste-Cooking-Oil
Biodiesel Using Machine Learning, NSGA-II, and Life-Cycle Assessment. Energy Report, EGYR-D-25-
03431. [Under Review]"	tri-objective-co-opt	#	#
2025-10-01	Risk-Aware Route Optimization for Waste Cooking Oil Collection	Waste Management	...	" Istiyak, A. S., Siow, C. L., Lee, I. E., et al. (2025). Risk-Aware Route Optimization for Waste Cooking Oil
Collection. Waste Management, [Under Review]."	risk-aware-route-opt	#	#
